ADDRESS,LATITUDE,LONGITUDE,CRIME_RISK_SCORE,PROBABILITY_CLAIM
"6039 Rover Ln, Columbus, OH 43232",39.918816,-82.836154,216,0.066666667
"4416 Wingfield St, Columbus, OH 43231",40.06304862,-82.92851992,201,0.058823529
"1292 Eagle View Dr, Columbus, OH 43228",39.92681671,-83.10992255,300,0.076923077
"3785 Sunbury Rd, Columbus, OH 43219",40.03686882,-82.9311134,217,0.066666667
"4270 Umiak Dr, Columbus, OH 43207",39.87908749,-82.96694946,160,0.05
"3322 Pine Valley Rd, Columbus, OH 43219",40.0125696,-82.9205367,228,0.066666667
"5029 Kilbourne Run Pl, Columbus, OH 43229",40.07265229,-82.95372886,168,0.052631579
"936 Cypress Ridge Pl, Columbus, OH 43228",39.93191,-83.129554,216,0.066666667
"2651 Winningwillow Dr, Columbus, OH 43207",39.89235312,-82.92771576,221,0.066666667
"1392 Bryson Rd, Columbus, OH 43224",40.05339642,-82.9808583,193,0.058823529
