ADDRESS,LATITUDE,LONGITUDE,PUB_E_TOP1_SCORE,PUB_E_TOP3_AVE_SCORE,PUB_M_TOP1_SCORE,PUB_M_TOP3_AVE_SCORE,PUB_H_TOP1_SCORE,PUB_H_TOP3_AVE_SCORE,PUB_E_NUM,PUB_M_NUM,PUB_H_NUM
"6039 Rover Ln, Columbus, OH 43232",39.918816,-82.836154,8,7,7,6.67,7,6,38,22,17
"4416 Wingfield St, Columbus, OH 43231",40.06304862,-82.92851992,9,8,8,7.33,8,6.33,57,22,19
"1292 Eagle View Dr, Columbus, OH 43228",39.92681671,-83.10992255,9,7.33,9,7.67,9,6.33,36,19,12
"3785 Sunbury Rd, Columbus, OH 43219",40.03686882,-82.9311134,8,8,8,7.67,8,6,59,25,22
"4270 Umiak Dr, Columbus, OH 43207",39.87908749,-82.96694946,9,8,5,5,6,5,21,13,11
"3322 Pine Valley Rd, Columbus, OH 43219",40.0125696,-82.9205367,8,7.67,8,7.67,8,7,56,29,24
"5029 Kilbourne Run Pl, Columbus, OH 43229",40.07265229,-82.95372886,9,8.33,8,7.33,8,6.67,58,24,19
"936 Cypress Ridge Pl, Columbus, OH 43228",39.93191,-83.129554,9,7.33,9,7.67,9,5.33,34,18,10
"2651 Winningwillow Dr, Columbus, OH 43207",39.89235312,-82.92771576,9,7,7,6,7,6.67,41,23,21
"1392 Bryson Rd, Columbus, OH 43224",40.05339642,-82.9808583,9,8.33,7,7,9,8,59,28,26
